1	182112477	182112495
12	31789757	31789775
19	13700220	13700238
2	232477432	232477450
16	85004316	85004334
17	71366198	71366216
3	97742256	97742274
5	136835086	136835104
17	73901227	73901245
19	18107822	18107840
14	93579330	93579348
19	35558188	35558206
17	26087236	26087254
9	133336725	133336743
7	70322090	70322108
1	7707466	7707484
10	4892013	4892031
17	4316665	4316683
11	17405635	17405653
6	139309503	139309521
15	74674890	74674908
1	27684168	27684186
1	36565373	36565391
17	27907500	27907518
3	160991590	160991608
6	11655980	11655998
1	155058693	155058711
19	13388960	13388978
19	4809769	4809787
19	48366845	48366863
16	147057	147075
17	72364576	72364594
20	47950608	47950626
20	48687976	48687994
22	23053381	23053399
1	156060669	156060687
11	1853844	1853862
16	66642613	66642631
21	39531552	39531570
11	128701239	128701257
11	3113177	3113195
2	38763399	38763417
2	85527637	85527655
7	97651006	97651024
8	29197882	29197900
19	51600822	51600840
7	55483071	55483089
17	8649437	8649455
1	175124180	175124198
11	1674093	1674111
19	48317142	48317160
5	90715604	90715622
1	173389658	173389676
19	15740280	15740298
15	99062482	99062500
1	15631402	15631420
20	30249519	30249537
8	104123876	104123894
1	212629394	212629412
17	41755442	41755460
2	228336789	228336807
20	48595693	48595711
14	55272696	55272714
11	61666765	61666783
3	120277915	120277933
1	167525528	167525546
10	31015891	31015909
16	29711972	29711990
2	233918830	233918848
5	178594273	178594291
7	128523817	128523835
15	64445916	64445934
8	142357195	142357213
21	36065715	36065733
19	35464233	35464251
20	43313996	43314014
8	143864078	143864096
20	3691711	3691729
14	94952769	94952787
20	1987522	1987540
1	5570112	5570130
13	51860712	51860730
16	88509587	88509605
17	17258396	17258414
22	37963488	37963506
3	134211509	134211527
3	50159154	50159172
5	134793337	134793355
5	149815808	149815826
9	125113027	125113045
1	201223853	201223871
2	231852107	231852125
5	176928138	176928156
13	27273001	27273019
5	173739145	173739163
12	685437	685455
16	78005641	78005659
5	153847412	153847430
8	21924466	21924484
12	54793252	54793270
16	88803892	88803910
16	71645089	71645107
17	26867905	26867923
19	45303918	45303936
1	118301642	118301660
11	33829957	33829975
21	35816004	35816022
10	116231303	116231321
1	31252610	31252628
1	53859162	53859180
12	109012059	109012077
12	121937866	121937884
16	68027306	68027324
22	30783489	30783507
1	2105895	2105913
2	16938629	16938647
15	74731230	74731248
1	919697	919715
14	23797414	23797432
18	35118013	35118031
5	149940667	149940685
6	32381397	32381415
6	34023197	34023215
8	96902964	96902982
21	32977095	32977113
7	156742335	156742353
2	1554651	1554669
20	56754775	56754793
14	95909027	95909045
21	33238528	33238546
12	111834895	111834913
X	46838170	46838188
8	6658420	6658438
12	8012696	8012714
12	8147993	8148011
16	69964274	69964292
19	2474708	2474726
13	27936282	27936300
3	47412842	47412860
14	103966665	103966683
2	103370203	103370221
20	53266162	53266180
1	27989841	27989859
6	44042451	44042469
1	247536195	247536213
15	34502389	34502407
3	42589098	42589116
5	66542069	66542087
1	157060097	157060115
2	47995210	47995228
20	62605406	62605424
6	2634869	2634887
7	101922923	101922941
14	51244795	51244813
9	134638013	134638031
15	75092668	75092686
6	41034751	41034769
14	71439273	71439291
2	165871725	165871743
6	108169604	108169622
1	176867097	176867115
7	95546072	95546090
1	202158224	202158242
10	126736813	126736831
22	50323344	50323362
6	35209049	35209067
9	94900559	94900577
1	43693105	43693123
14	24032111	24032129
15	88790217	88790235
15	98854995	98855013
17	73746130	73746148
2	238480806	238480824
5	141340460	141340478
7	30780238	30780256
11	62192361	62192379
17	27444329	27444347
2	154375979	154375997
3	195642067	195642085
6	31334841	31334859
17	25981904	25981922
17	53591550	53591568
3	52254611	52254629
5	107596449	107596467
8	134461890	134461908
9	86264208	86264226
1	12178844	12178862
15	40571764	40571782
19	48293808	48293826
2	43354467	43354485
4	77101157	77101175
X	8711358	8711376
17	39804313	39804331
17	73629166	73629184
18	59249255	59249273
3	17454608	17454626
10	76859870	76859888
14	105442613	105442631
7	100835948	100835966
15	40567083	40567101
5	174363064	174363082
12	58176460	58176478
1	167772749	167772767
14	103985066	103985084
16	55746375	55746393
17	71251992	71252010
2	233305435	233305453
22	36697516	36697534
5	149016537	149016555
1	151043689	151043707
10	96080219	96080237
11	110072233	110072251
2	75292244	75292262
8	37557975	37557993
10	125754300	125754318
11	77757410	77757428
2	113484469	113484487
4	164471612	164471630
1	23543398	23543416
13	32316425	32316443
20	30222221	30222239
22	42093275	42093293
3	58518651	58518669
18	839511	839529
2	121438028	121438046
2	218751624	218751642
11	2449606	2449624
15	70752706	70752724
17	26821898	26821916
2	68979046	68979064
8	90996519	90996537
1	2479625	2479643
1	32014651	32014669
4	139602339	139602357
6	32836145	32836163
19	13204769	13204787
9	32968583	32968601
1	101754155	101754173
15	68846527	68846545
22	30682980	30682998
1	167509787	167509805
11	86167316	86167334
12	3384784	3384802
5	17189700	17189718
5	176736862	176736880
11	60598667	60598685
17	62106414	62106432
17	71425692	71425710
10	99674678	99674696
4	56050964	56050982
1	8409222	8409240
14	61092249	61092267
7	31023382	31023400
1	15650211	15650229
1	68582515	68582533
10	81134501	81134519
20	37676869	37676887
20	61687941	61687959
21	46369845	46369863
1	7813055	7813073
19	44023817	44023835
4	16027973	16027991
12	122232999	122233017
14	91639666	91639684
17	43212781	43212799
20	36686109	36686127
1	226309332	226309350
11	44933053	44933071
14	104561157	104561175
15	89750246	89750264
17	76108871	76108889
2	11925221	11925239
2	85153110	85153128
4	75094601	75094619
5	176087971	176087989
14	34262061	34262079
6	26596168	26596186
11	87063963	87063981
4	40910870	40910888
16	87883749	87883767
1	23511344	23511362
12	1905349	1905367
7	30978543	30978561
9	129263334	129263352
X	37604793	37604811
10	102278679	102278697
15	37176021	37176039
1	40072026	40072044
