ENSG00000223972	chr1	11869
ENSG00000227232	chr1	29806
ENSG00000243485	chr1	29554
ENSG00000237613	chr1	36081
ENSG00000268020	chr1	52473
ENSG00000240361	chr1	62948
ENSG00000186092	chr1	69091
ENSG00000238009	chr1	133566
ENSG00000239945	chr1	91105
ENSG00000233750	chr1	131025
ENSG00000237683	chr1	139379
ENSG00000268903	chr1	135895
ENSG00000269981	chr1	137965
ENSG00000239906	chr1	140339
ENSG00000241860	chr1	173862
ENSG00000222623	chr1	157887
ENSG00000241599	chr1	160446
ENSG00000228463	chr1	267253
ENSG00000241670	chr1	228775
ENSG00000237094	chr1	317720
ENSG00000250575	chr1	326096
ENSG00000233653	chr1	332236
ENSG00000224813	chr1	334126
ENSG00000235249	chr1	367640
ENSG00000269732	chr1	379467
ENSG00000256186	chr1	450910
ENSG00000236601	chr1	460480
ENSG00000236743	chr1	459656
ENSG00000236679	chr1	470971
ENSG00000231709	chr1	523833
ENSG00000235146	chr1	523009
ENSG00000239664	chr1	532878
ENSG00000230021	chr1	659930
ENSG00000223659	chr1	564390
ENSG00000225972	chr1	564442
ENSG00000225630	chr1	565020
ENSG00000237973	chr1	566454
ENSG00000229344	chr1	568137
ENSG00000240409	chr1	568915
ENSG00000248527	chr1	569076
ENSG00000198744	chr1	569756
ENSG00000268663	chr1	610222
ENSG00000185097	chr1	622053
ENSG00000229376	chr1	657472
ENSG00000224956	chr1	663527
ENSG00000235373	chr1	685396
ENSG00000223181	chr1	693716
ENSG00000240618	chr1	700305
ENSG00000229905	chr1	696291
ENSG00000228327	chr1	714006
ENSG00000237491	chr1	714150
ENSG00000230092	chr1	745541
ENSG00000269831	chr1	739137
ENSG00000240453	chr1	753092
ENSG00000177757	chr1	752751
ENSG00000225880	chr1	762902
ENSG00000228794	chr1	762988
ENSG00000230368	chr1	812283
ENSG00000234711	chr1	808672
ENSG00000269308	chr1	818043
ENSG00000272438	chr1	840214
ENSG00000230699	chr1	846815
ENSG00000241180	chr1	849551
ENSG00000223764	chr1	856396
ENSG00000187634	chr1	860260
ENSG00000268179	chr1	866445
ENSG00000188976	chr1	894689
ENSG00000187961	chr1	895967
ENSG00000187583	chr1	901877
ENSG00000187642	chr1	917497
ENSG00000272512	chr1	933431
ENSG00000188290	chr1	935552
ENSG00000231702	chr1	943609
ENSG00000224969	chr1	948573
ENSG00000187608	chr1	948803
ENSG00000188157	chr1	955503
ENSG00000242590	chr1	990413
ENSG00000217801	chr1	995114
ENSG00000273443	chr1	998668
ENSG00000237330	chr1	1009687
ENSG00000131591	chr1	1051741
ENSG00000223823	chr1	1072397
ENSG00000207730	chr1	1102484
ENSG00000207607	chr1	1103243
ENSG00000198976	chr1	1104385
ENSG00000272141	chr1	1104737
ENSG00000205231	chr1	1114935
ENSG00000162571	chr1	1109264
ENSG00000186891	chr1	1142071
ENSG00000186827	chr1	1149518
ENSG00000078808	chr1	1167411
ENSG00000176022	chr1	1167629
ENSG00000184163	chr1	1182102
ENSG00000260179	chr1	1186714
ENSG00000160087	chr1	1209265
ENSG00000230415	chr1	1210603
ENSG00000162572	chr1	1215816
ENSG00000131584	chr1	1244989
ENSG00000169972	chr1	1243947
ENSG00000127054	chr1	1260071
ENSG00000240731	chr1	1254069
ENSG00000224051	chr1	1260136
ENSG00000169962	chr1	1266694
ENSG00000107404	chr1	1284730
ENSG00000162576	chr1	1297157
ENSG00000175756	chr1	1310875
ENSG00000223663	chr1	1314046
ENSG00000221978	chr1	1334708
ENSG00000224870	chr1	1334902
ENSG00000242485	chr1	1342693
ENSG00000264293	chr1	1341132
ENSG00000272455	chr1	1344476
ENSG00000235098	chr1	1357149
ENSG00000225905	chr1	1355625
ENSG00000205116	chr1	1361508
ENSG00000225285	chr1	1369953
